1;0;0;180;820
2;0;0;300;820
3;2;0;420;820
4;0;0;540;820
5;0;0;660;820
6;0;0;780;820
7;2;0;900;820
8;0;0;1020;820
9;1;0;1140;820
10;0;0;1140;700
11;2;0;1140;580
12;0;0;1140;460
13;2;0;1140;340
14;0;0;1140;220
15;0;0;1140;100
16;0;0;1020;100
17;2;0;900;100
18;0;0;780;100
19;0;0;660;100
20;0;0;540;100
21;2;0;420;100
22;0;0;300;100
23;1;1;180;100
24;3;29;180;220
25;2;0;180;340
26;0;0;180;460
27;2;0;180;580
28;0;0;180;700
29;0;0;300;700
30;0;0;420;700
31;2;0;540;700
32;0;0;660;700
33;2;0;780;700
34;3;4;900;700
35;1;2;1020;700
36;0;0;1020;580
37;2;0;1020;460
38;0;0;1020;340
39;3;12;1020;220
40;0;0;900;220
41;2;0;780;220
42;0;0;660;220
43;2;0;540;220
44;0;0;420;220
45;1;3;300;220
46;0;0;300;340
47;2;0;300;460
48;0;0;300;580
49;0;0;420;580
50;0;0;540;580
51;2;0;660;580
52;0;0;780;580
53;0;0;900;580
54;0;0;900;460
55;1;4;900;340
56;0;0;780;340
57;2;0;660;340
58;0;0;540;340
59;3;20;420;340
60;0;0;420;460
61;0;0;540;460
62;0;0;660;460
63;5;0;780;460
