¿Las estructuras dinámicas, requieren la creación de elementos llamados nodos y otros llamados apuntadores?;VERDADERO;FALSO;A
Al crear listas enlazadas ¿debemos incluir por lo menos un campo de tipo puntero que nos permita el acceso hacia un siguiente nodo?;VERDADERO;FALSO;A
¿Una lista doblemente enlazada, permite el almacenamiento de dos diferentes datos a la vez?;VERDADERO;FALSO;B
Al realizar operaciones con listas enlazadas, siempre debemos tener presente el no perder la dirección del nodo raíz o cabeza, ya que es nuestra puerta de entrada o inicio de la lista;VERDADERO;FALSO;A
Si durante la ejecución de un programa con listas enlazadas perdemos la dirección de un siguiente nodo, ¿será posible recuperar la información contenida en esa lista?;VERDADERO;FALSO;B
Al trabajar con listas enlazadas no circulares ¿el campo next del nodo cola o último, siempre deberá estar apuntando hacia NULL?;VERDADERO;FALSO;A
Si estamos trabajando con listas circulares cuando un nodo no tiene un nodo sucesor,  ¿siempre deberá estar apuntando a null?;VERDADERO;FALSO;B
Los nodos pueden contener varios campos de información además del campo de enlace;VERDADERO;FALSO;A
El tamaño previamente declarado para un vector, puede ser cambiado de acuerdo a la conveniencia del programa;VERDADERO;FALSO;B
Para utilizar listas enlazadas, ¿se debe previamente especificar la cantidad de elementos que la conformarán?;VERDADERO;FALSO;B
¿Las estructuras dinámicas deben estar sujetas a una asignación de memoria predeterminada antes de la ejecución del programa?;VERDADERO;FALSO;B
